id,product,layer,code,status,contextKey,contextTitle,appliesTo,scenario,meaning,causes,resolution,prevention,severity,owner,source,lastVerified,tags,seoTitle,seoSlug,metaDescription,canonicalPath,confidence
PP-0011,Power Automate,Cloud flow design-time,InvalidTemplate,,sql-server-connector,SQL Server Connector,Power Automate or Power Apps using SQL Server through a connector or gateway,"The app or flow queries, inserts, updates, or deletes SQL Server records as part of a business process.","The flow definition cannot be saved because an expression, action configuration, or template structure is invalid. This article focuses on the sql server connector scenario.","Broken expression syntax, wrong action reference, unsupported function arguments, invalid constant conversion, or copied hidden characters. In this scenario, check SQL permissions, gateway mapping, stored procedure parameters, table schema changes, and query timeout behavior.","Open the highlighted action, inspect the expression, correct syntax and action references, remove hidden characters, save, and retest the flow. For sql server connector, also verify: Check SQL permissions, gateway mapping, stored procedure parameters, table schema changes, and query timeout behavior.","Use named actions, test expressions with sample payloads, and keep risky expressions small enough to review. For sql server connector, document the expected permissions, connector settings, and test data used to validate the fix.",High,Database owner,SRC-001,2026-06-09,invalid template expression save validation sql-server-connector SQL Server Connector,InvalidTemplate in SQL Server Connector | Power Platform Error Fix,invalidtemplate-sql-server-connector,"InvalidTemplate in SQL Server Connector: what it means, common causes, and how to resolve it in Power Automate.",/errors/invalidtemplate-sql-server-connector.html,Medium
PP-0012,Power Automate,Cloud flow design-time,InvalidTemplate,,approval-workflow,Approval Workflow,Power Automate approval process,"The flow creates, waits for, updates, or reacts to an approval request.","The flow definition cannot be saved because an expression, action configuration, or template structure is invalid. This article focuses on the approval workflow scenario.","Broken expression syntax, wrong action reference, unsupported function arguments, invalid constant conversion, or copied hidden characters. In this scenario, check approver identity, approval timeout, response schema, action run-after settings, and notification delivery.","Open the highlighted action, inspect the expression, correct syntax and action references, remove hidden characters, save, and retest the flow. For approval workflow, also verify: Check approver identity, approval timeout, response schema, action run-after settings, and notification delivery.","Use named actions, test expressions with sample payloads, and keep risky expressions small enough to review. For approval workflow, document the expected permissions, connector settings, and test data used to validate the fix.",High,Flow owner,SRC-001,2026-06-09,invalid template expression save validation approval-workflow Approval Workflow,InvalidTemplate in Approval Workflow | Power Platform Error Fix,invalidtemplate-approval-workflow,"InvalidTemplate in Approval Workflow: what it means, common causes, and how to resolve it in Power Automate.",/errors/invalidtemplate-approval-workflow.html,Medium
PP-0013,Power Automate,Cloud flow design-time,InvalidTemplate,,child-flow-call,Child Flow Call,Power Automate parent flow calling a child flow,A parent flow invokes reusable child-flow logic and waits for a result.,"The flow definition cannot be saved because an expression, action configuration, or template structure is invalid. This article focuses on the child flow call scenario.","Broken expression syntax, wrong action reference, unsupported function arguments, invalid constant conversion, or copied hidden characters. In this scenario, check solution membership, trigger type, response action, input schema, connection references, and child-flow ownership.","Open the highlighted action, inspect the expression, correct syntax and action references, remove hidden characters, save, and retest the flow. For child flow call, also verify: Check solution membership, trigger type, response action, input schema, connection references, and child-flow ownership.","Use named actions, test expressions with sample payloads, and keep risky expressions small enough to review. For child flow call, document the expected permissions, connector settings, and test data used to validate the fix.",High,Solution owner,SRC-001,2026-06-09,invalid template expression save validation child-flow-call Child Flow Call,InvalidTemplate in Child Flow Call | Power Platform Error Fix,invalidtemplate-child-flow-call,"InvalidTemplate in Child Flow Call: what it means, common causes, and how to resolve it in Power Automate.",/errors/invalidtemplate-child-flow-call.html,Medium
PP-0014,Power Automate,Cloud flow design-time,InvalidTemplate,,adaptive-card-post,Adaptive Card Post,Power Automate or Teams workflow posting adaptive cards,The flow sends an adaptive card to Teams or Outlook and later processes the response.,"The flow definition cannot be saved because an expression, action configuration, or template structure is invalid. This article focuses on the adaptive card post scenario.","Broken expression syntax, wrong action reference, unsupported function arguments, invalid constant conversion, or copied hidden characters. In this scenario, check adaptive card JSON, unsupported schema version, user identity, channel permissions, and response parsing.","Open the highlighted action, inspect the expression, correct syntax and action references, remove hidden characters, save, and retest the flow. For adaptive card post, also verify: Check adaptive card JSON, unsupported schema version, user identity, channel permissions, and response parsing.","Use named actions, test expressions with sample payloads, and keep risky expressions small enough to review. For adaptive card post, document the expected permissions, connector settings, and test data used to validate the fix.",High,Collaboration app owner,SRC-001,2026-06-09,invalid template expression save validation adaptive-card-post Adaptive Card Post,InvalidTemplate in Adaptive Card Post | Power Platform Error Fix,invalidtemplate-adaptive-card-post,"InvalidTemplate in Adaptive Card Post: what it means, common causes, and how to resolve it in Power Automate.",/errors/invalidtemplate-adaptive-card-post.html,Medium
PP-0015,Power Automate,Cloud flow design-time,InvalidTemplate,,excel-online-table,Excel Online Table,Power Automate flow using Excel Online table actions,"The automation reads, lists, inserts, or updates rows in an Excel table stored in OneDrive or SharePoint.","The flow definition cannot be saved because an expression, action configuration, or template structure is invalid. This article focuses on the excel online table scenario.","Broken expression syntax, wrong action reference, unsupported function arguments, invalid constant conversion, or copied hidden characters. In this scenario, check workbook location, table name, file lock state, column headers, row keys, and connector throttling.","Open the highlighted action, inspect the expression, correct syntax and action references, remove hidden characters, save, and retest the flow. For excel online table, also verify: Check workbook location, table name, file lock state, column headers, row keys, and connector throttling.","Use named actions, test expressions with sample payloads, and keep risky expressions small enough to review. For excel online table, document the expected permissions, connector settings, and test data used to validate the fix.",High,Flow maker,SRC-001,2026-06-09,invalid template expression save validation excel-online-table Excel Online Table,InvalidTemplate in Excel Online Table | Power Platform Error Fix,invalidtemplate-excel-online-table,"InvalidTemplate in Excel Online Table: what it means, common causes, and how to resolve it in Power Automate.",/errors/invalidtemplate-excel-online-table.html,Medium
PP-0016,Power Automate,Cloud flow design-time,InvalidTemplate,,power-pages-form,Power Pages Form,"Power Pages form, list, or Dataverse-backed page","A portal user submits a form, views a list, signs in, or interacts with Dataverse data through Power Pages.","The flow definition cannot be saved because an expression, action configuration, or template structure is invalid. This article focuses on the power pages form scenario.","Broken expression syntax, wrong action reference, unsupported function arguments, invalid constant conversion, or copied hidden characters. In this scenario, check table permissions, web roles, site settings, authentication provider configuration, and Dataverse row access.","Open the highlighted action, inspect the expression, correct syntax and action references, remove hidden characters, save, and retest the flow. For power pages form, also verify: Check table permissions, web roles, site settings, authentication provider configuration, and Dataverse row access.","Use named actions, test expressions with sample payloads, and keep risky expressions small enough to review. For power pages form, document the expected permissions, connector settings, and test data used to validate the fix.",High,Power Pages admin,SRC-001,2026-06-09,invalid template expression save validation power-pages-form Power Pages Form,InvalidTemplate in Power Pages Form | Power Platform Error Fix,invalidtemplate-power-pages-form,"InvalidTemplate in Power Pages Form: what it means, common causes, and how to resolve it in Power Automate.",/errors/invalidtemplate-power-pages-form.html,Medium
PP-0017,Power Automate,Cloud flow design-time,InvalidTemplate,,copilot-studio-topic,Copilot Studio Topic,Copilot Studio topic or action calling Power Platform services,"A copilot topic calls a flow, connector, or Dataverse operation and returns the result to the user.","The flow definition cannot be saved because an expression, action configuration, or template structure is invalid. This article focuses on the copilot studio topic scenario.","Broken expression syntax, wrong action reference, unsupported function arguments, invalid constant conversion, or copied hidden characters. In this scenario, check topic variables, action input schema, authentication, environment connection references, and user permissions.","Open the highlighted action, inspect the expression, correct syntax and action references, remove hidden characters, save, and retest the flow. For copilot studio topic, also verify: Check topic variables, action input schema, authentication, environment connection references, and user permissions.","Use named actions, test expressions with sample payloads, and keep risky expressions small enough to review. For copilot studio topic, document the expected permissions, connector settings, and test data used to validate the fix.",High,Copilot owner,SRC-001,2026-06-09,invalid template expression save validation copilot-studio-topic Copilot Studio Topic,InvalidTemplate in Copilot Studio Topic | Power Platform Error Fix,invalidtemplate-copilot-studio-topic,"InvalidTemplate in Copilot Studio Topic: what it means, common causes, and how to resolve it in Power Automate.",/errors/invalidtemplate-copilot-studio-topic.html,Medium
PP-0018,Power Automate,Cloud flow design-time,InvalidTemplate,,managed-solution-upgrade,Managed Solution Upgrade,Power Platform managed solution upgrade or patch,"A managed solution update, patch, or stage-for-upgrade operation is applied to a target environment.","The flow definition cannot be saved because an expression, action configuration, or template structure is invalid. This article focuses on the managed solution upgrade scenario.","Broken expression syntax, wrong action reference, unsupported function arguments, invalid constant conversion, or copied hidden characters. In this scenario, check solution layering, missing dependencies, active customizations, publisher identity, and upgrade path order.","Open the highlighted action, inspect the expression, correct syntax and action references, remove hidden characters, save, and retest the flow. For managed solution upgrade, also verify: Check solution layering, missing dependencies, active customizations, publisher identity, and upgrade path order.","Use named actions, test expressions with sample payloads, and keep risky expressions small enough to review. For managed solution upgrade, document the expected permissions, connector settings, and test data used to validate the fix.",High,Release manager,SRC-001,2026-06-09,invalid template expression save validation managed-solution-upgrade Managed Solution Upgrade,InvalidTemplate in Managed Solution Upgrade | Power Platform Error Fix,invalidtemplate-managed-solution-upgrade,"InvalidTemplate in Managed Solution Upgrade: what it means, common causes, and how to resolve it in Power Automate.",/errors/invalidtemplate-managed-solution-upgrade.html,Medium
PP-0019,Power Automate,Cloud flow design-time,InvalidTemplate,,environment-move-copy,Environment Move or Copy,"Power Platform environment copy, restore, backup, or tenant move","An environment is copied, restored, moved, or reconfigured and existing apps or flows are tested afterward.","The flow definition cannot be saved because an expression, action configuration, or template structure is invalid. This article focuses on the environment move or copy scenario.","Broken expression syntax, wrong action reference, unsupported function arguments, invalid constant conversion, or copied hidden characters. In this scenario, check environment URLs, connection references, callback URLs, app registrations, data source IDs, and tenant policies.","Open the highlighted action, inspect the expression, correct syntax and action references, remove hidden characters, save, and retest the flow. For environment move or copy, also verify: Check environment URLs, connection references, callback URLs, app registrations, data source IDs, and tenant policies.","Use named actions, test expressions with sample payloads, and keep risky expressions small enough to review. For environment move or copy, document the expected permissions, connector settings, and test data used to validate the fix.",High,Power Platform admin,SRC-001,2026-06-09,invalid template expression save validation environment-move-copy Environment Move or Copy,InvalidTemplate in Environment Move or Copy | Power Platform Error Fix,invalidtemplate-environment-move-copy,"InvalidTemplate in Environment Move or Copy: what it means, common causes, and how to resolve it in Power Automate.",/errors/invalidtemplate-environment-move-copy.html,Medium
PP-0020,Power Automate,Cloud flow design-time,InvalidTemplate,,service-principal-connection,Service Principal Connection,Power Platform connection using app registration or service principal authentication,"A flow, app, or integration authenticates with an application identity instead of a personal user account.","The flow definition cannot be saved because an expression, action configuration, or template structure is invalid. This article focuses on the service principal connection scenario.","Broken expression syntax, wrong action reference, unsupported function arguments, invalid constant conversion, or copied hidden characters. In this scenario, check app registration permissions, consent, secret expiry, certificate validity, security roles, and connection ownership.","Open the highlighted action, inspect the expression, correct syntax and action references, remove hidden characters, save, and retest the flow. For service principal connection, also verify: Check app registration permissions, consent, secret expiry, certificate validity, security roles, and connection ownership.","Use named actions, test expressions with sample payloads, and keep risky expressions small enough to review. For service principal connection, document the expected permissions, connector settings, and test data used to validate the fix.",High,Identity admin,SRC-001,2026-06-09,invalid template expression save validation service-principal-connection Service Principal Connection,InvalidTemplate in Service Principal Connection | Power Platform Error Fix,invalidtemplate-service-principal-connection,"InvalidTemplate in Service Principal Connection: what it means, common causes, and how to resolve it in Power Automate.",/errors/invalidtemplate-service-principal-connection.html,Medium
PP-0021,Power Automate,Cloud flow design-time,FlowCheckerError,,sharepoint-list-item,SharePoint List Item Flow,Power Automate cloud flow using SharePoint list items,"The flow reads or updates SharePoint list data during an approval, notification, or sync process.",The flow checker found one or more validation issues that block saving or publishing. This article focuses on the sharepoint list item flow scenario.,"Required fields are missing, a connector connection is not selected, trigger inputs are incomplete, or dynamic content is referenced unsafely. In this scenario, confirm the site, list, item ID, and connection user permissions before changing expressions.","Open the checker banner, visit each flagged action, fill required fields, select connections, repair expressions, save, and test. For sharepoint list item flow, also verify: Confirm the site, list, item ID, and connection user permissions before changing expressions.","Run flow checker after large edits and keep connection references mapped in every deployment environment. For sharepoint list item flow, document the expected permissions, connector settings, and test data used to validate the fix.",High,Flow maker,SRC-001,2026-06-09,flow checker validation required fields sharepoint-list-item SharePoint List Item Flow,FlowCheckerError in SharePoint List Item Flow | Power Platform Error Fix,flowcheckererror-sharepoint-list-item,"FlowCheckerError in SharePoint List Item Flow: what it means, common causes, and how to resolve it in Power Automate.",/errors/flowcheckererror-sharepoint-list-item.html,Medium
PP-0022,Power Automate,Cloud flow design-time,FlowCheckerError,,outlook-email-automation,Outlook Email Automation,Power Automate cloud flow using Outlook mail actions,"The flow sends, moves, or reads email and then passes mailbox data to later actions.",The flow checker found one or more validation issues that block saving or publishing. This article focuses on the outlook email automation scenario.,"Required fields are missing, a connector connection is not selected, trigger inputs are incomplete, or dynamic content is referenced unsafely. In this scenario, check mailbox permissions, shared mailbox access, and whether the connection account still has the expected mailbox role.","Open the checker banner, visit each flagged action, fill required fields, select connections, repair expressions, save, and test. For outlook email automation, also verify: Check mailbox permissions, shared mailbox access, and whether the connection account still has the expected mailbox role.","Run flow checker after large edits and keep connection references mapped in every deployment environment. For outlook email automation, document the expected permissions, connector settings, and test data used to validate the fix.",High,Flow maker,SRC-001,2026-06-09,flow checker validation required fields outlook-email-automation Outlook Email Automation,FlowCheckerError in Outlook Email Automation | Power Platform Error Fix,flowcheckererror-outlook-email-automation,"FlowCheckerError in Outlook Email Automation: what it means, common causes, and how to resolve it in Power Automate.",/errors/flowcheckererror-outlook-email-automation.html,Medium
PP-0023,Power Automate,Cloud flow design-time,FlowCheckerError,,teams-notification-flow,Teams Notification Flow,Power Automate cloud flow posting to Microsoft Teams,The automation posts adaptive cards or channel messages after a business event.,The flow checker found one or more validation issues that block saving or publishing. This article focuses on the teams notification flow scenario.,"Required fields are missing, a connector connection is not selected, trigger inputs are incomplete, or dynamic content is referenced unsafely. In this scenario, confirm the team, channel, connector permissions, message payload, and DLP policy for the environment.","Open the checker banner, visit each flagged action, fill required fields, select connections, repair expressions, save, and test. For teams notification flow, also verify: Confirm the team, channel, connector permissions, message payload, and DLP policy for the environment.","Run flow checker after large edits and keep connection references mapped in every deployment environment. For teams notification flow, document the expected permissions, connector settings, and test data used to validate the fix.",High,Flow maker,SRC-001,2026-06-09,flow checker validation required fields teams-notification-flow Teams Notification Flow,FlowCheckerError in Teams Notification Flow | Power Platform Error Fix,flowcheckererror-teams-notification-flow,"FlowCheckerError in Teams Notification Flow: what it means, common causes, and how to resolve it in Power Automate.",/errors/flowcheckererror-teams-notification-flow.html,Medium
PP-0024,Power Automate,Cloud flow design-time,FlowCheckerError,,dataverse-row-operation,Dataverse Row Operation,"Power Automate or app logic creating, reading, updating, or deleting Dataverse rows","The process calls Dataverse tables directly from a flow, app, plugin, custom connector, or Web API client.",The flow checker found one or more validation issues that block saving or publishing. This article focuses on the dataverse row operation scenario.,"Required fields are missing, a connector connection is not selected, trigger inputs are incomplete, or dynamic content is referenced unsafely. In this scenario, check table permissions, row ownership, logical names, column types, and service protection limits.","Open the checker banner, visit each flagged action, fill required fields, select connections, repair expressions, save, and test. For dataverse row operation, also verify: Check table permissions, row ownership, logical names, column types, and service protection limits.","Run flow checker after large edits and keep connection references mapped in every deployment environment. For dataverse row operation, document the expected permissions, connector settings, and test data used to validate the fix.",High,Dataverse admin,SRC-001,2026-06-09,flow checker validation required fields dataverse-row-operation Dataverse Row Operation,FlowCheckerError in Dataverse Row Operation | Power Platform Error Fix,flowcheckererror-dataverse-row-operation,"FlowCheckerError in Dataverse Row Operation: what it means, common causes, and how to resolve it in Power Automate.",/errors/flowcheckererror-dataverse-row-operation.html,Medium
PP-0025,Power Automate,Cloud flow design-time,FlowCheckerError,,canvas-app-form,Canvas App Form,Power Apps canvas app form or formula,"The user saves a form, loads a record, calls a flow, or uses connector data inside a canvas app.",The flow checker found one or more validation issues that block saving or publishing. This article focuses on the canvas app form scenario.,"Required fields are missing, a connector connection is not selected, trigger inputs are incomplete, or dynamic content is referenced unsafely. In this scenario, check app sharing, data source permissions, formula null handling, and connector policy restrictions.","Open the checker banner, visit each flagged action, fill required fields, select connections, repair expressions, save, and test. For canvas app form, also verify: Check app sharing, data source permissions, formula null handling, and connector policy restrictions.","Run flow checker after large edits and keep connection references mapped in every deployment environment. For canvas app form, document the expected permissions, connector settings, and test data used to validate the fix.",High,App owner,SRC-001,2026-06-09,flow checker validation required fields canvas-app-form Canvas App Form,FlowCheckerError in Canvas App Form | Power Platform Error Fix,flowcheckererror-canvas-app-form,"FlowCheckerError in Canvas App Form: what it means, common causes, and how to resolve it in Power Automate.",/errors/flowcheckererror-canvas-app-form.html,Medium
